Product Name,Shop Name,Price,Growth Rate,Total Reviews,Listing Age,Category,Shop Age,Visibility Score,Conversion Rate,Total Shop Sales,Product Link,Shop Link,Est. Sales,Est. Revenue,Est. Total Sales,Total Favorites,Avg. Reviews,Total Views,Tags Used,Description Character Count,Minimum Processing,Placement Of Listing In Shop,Shop Digital Listing,Title Character Count,Listing Type,Tags,Tag 1,Tag 2,Tag 3,Tag 4,Tag 5,Tag 6,Tag 7,Tag 8,Tag 9,Tag 10,Tag 11,Tag 12,Tag 13
"USA 250th Anniversary Comfort Colors Shirt, USA Flag Vintage T-Shirt, Usa 250th anniversary Independence Day Tee, 4th of July Patriotic Gift",DDApparelUS,37.00,0,40,3 Mo.,Clothing,18,100,1.53,5425,https://www.etsy.com/listing/4441526534/usa-250th-anniversary-comfort-colors,https://www.etsy.com/shop/DDApparelUS,164,6068,237,496,13,15441,,,1,-1,1,140,physical,"america 250 years,comfort colors shirt,4th of july shirt,independence day,patriotic shirt,vintage usa shirt,250 anniversary tee,semiquincentennial,retro america shirt,vintage eagle tee,america birthday tee,historical usa shirt,usa shirt",america 250 years,comfort colors shirt,4th of july shirt,independence day,patriotic shirt,vintage usa shirt,250 anniversary tee,semiquincentennial,retro america shirt,vintage eagle tee,america birthday tee,historical usa shirt,usa shirt
250 Years Of Freedom Shirt USA Anniversary Shirt Freedom Tee American 250 Merchandise 4th of July Shirt Youth-Adult XS-3XL,CrabTreeFamilyGifts,19.99,-50,11,2 Mo.,Clothing,18,100,2.38,1969,https://www.etsy.com/listing/4462755423/250-years-of-freedom-shirt-usa,https://www.etsy.com/shop/CrabTreeFamilyGifts,107,3234,137,178,6,5768,,,2,-1,0,122,physical,"american 250,250 years shirt,comfort colors shirt,4th of july shirt,patriotic shirt,womens clothing,memorial day shirt,250 years of america,america 250,america 250th shirt,american flag,america shirt,america shirts",american 250,250 years shirt,comfort colors shirt,4th of july shirt,patriotic shirt,womens clothing,memorial day shirt,250 years of america,america 250,america 250th shirt,american flag,america shirt,america shirts
"Embroidered 250th Anniversary USA Shirt 1776-2026, Mens USA Sweatshirt, Patriotic 250 Anniversary Crewneck, Women Fourth of July Sweatshirt",JavonnDes88,56.00,100,4,3 Mo.,Clothing,5,100,3.07,184,https://www.etsy.com/listing/4449062182/embroidered-250th-anniversary-usa-shirt,https://www.etsy.com/shop/JavonnDes88,46,2576,49,26,1,1597,,,4,16,0,139,physical,"usa 250 years,semiquincentennial,patriotic hoodie,american history,4th of july shirt,embroidered usa,custom sleeve name,america birthday,independence day,patriotic gift,dad grandpa gift,1776 2026 shirt,250th anniversary",usa 250 years,semiquincentennial,patriotic hoodie,american history,4th of july shirt,embroidered usa,custom sleeve name,america birthday,independence day,patriotic gift,dad grandpa gift,1776 2026 shirt,250th anniversary
"Comfort Colors® USA 250 Year Of Freedom Shirt, America 1776–2026 Tee, Patriotic USA 250 Shirt, July 4th Gift, Print Only — Not a Patch",SaksukaApparel,16.99,100,41,1 Mo.,Clothing,47,100,5.6,17927,https://www.etsy.com/listing/4471928935/comfort-colors-usa-250-year-of-freedom,https://www.etsy.com/shop/SaksukaApparel,137,2328,137,69,41,2445,,,1,-1,1,134,physical,"usa 250 shirt,usa 250 tee,1776 2026 shirt,patriotic usa shirt,fourth july shirt,america 250 tee,usa patriotic tee,independence tee,usa freedom shirt,july 4th shirt,patriotic gift tee,america birthday tee,usa celebration tee",usa 250 shirt,usa 250 tee,1776 2026 shirt,patriotic usa shirt,fourth july shirt,america 250 tee,usa patriotic tee,independence tee,usa freedom shirt,july 4th shirt,patriotic gift tee,america birthday tee,usa celebration tee
"Comfort Colors USA 250th Birthday Shirt, America 250th Anniversary Shirt, Patriotic Shirt, 4th Of July Shirt, Print Only — Not a Patch",BestStopShirt,16.99,100,43,1 Mo.,Clothing,35,100,10.11,10164,https://www.etsy.com/listing/4476459875/comfort-colors-usa-250th-birthday-shirt,https://www.etsy.com/shop/BestStopShirt,119,2022,119,52,43,1177,,,1,-1,1,134,physical,"usa 250 shirt,america 250 tee,patriotic shirt,july 4 shirt,usa birthday tee,america shirt,usa 1776 tee,4th july tee,womens tee,usa graphic tee,patriotic tee,usa celebration,freedom shirt",usa 250 shirt,america 250 tee,patriotic shirt,july 4 shirt,usa birthday tee,america shirt,usa 1776 tee,4th july tee,womens tee,usa graphic tee,patriotic tee,usa celebration,freedom shirt
"Embroidered USA 250th Anniversary Sweatshirt, Patriotic 4th of July Tee",MoriNoKoya,21.99,0,14,3 Mo.,Clothing,21,100,2.3,22210,https://www.etsy.com/listing/4445850212/embroidered-usa-250th-sweatshirt,https://www.etsy.com/shop/MoriNoKoya,91,2001,107,154,5,4644,,,7,0,23,71,physical,"america shirt,usa shirt,patriotic shirt,fourth of july shirt,america 250,independence day,usa 250 years,250th anniversary,semiquincentennial,4th of july shirt,american flag shirt,usa christmas gift,embroidered tee",america shirt,usa shirt,patriotic shirt,fourth of july shirt,america 250,independence day,usa 250 years,250th anniversary,semiquincentennial,4th of july shirt,american flag shirt,usa christmas gift,embroidered tee
"America 250th Anniversary Shirt 1776 - 2026, We The People Patriotic Eagle American Flag T-Shirt, Vintage USA Flag July 4th Tee",SageDesignHaus,35.00,200,15,3 Mo.,Clothing,183,100,1.39,2037,https://www.etsy.com/listing/4436867098/america-250th-anniversary-shirt-1776,https://www.etsy.com/shop/SageDesignHaus,57,1995,78,276,5,5621,,,2,-1,0,127,physical,"america 250 shirt,1776 2026 shirt,semi quincentennial,america anniversary,we the people shirt,patriotic eagle tee,vintage america tee,250th anniversary,july 4th 2026 shirt,american flag shirt,patriotic t shirt,fourth of july tee,usa t-shirt",america 250 shirt,1776 2026 shirt,semi quincentennial,america anniversary,we the people shirt,patriotic eagle tee,vintage america tee,250th anniversary,july 4th 2026 shirt,american flag shirt,patriotic t shirt,fourth of july tee,usa t-shirt
"America 250th Anniversary Shirt, Patriotic USA Flag Tee, 4th of July Independence Day Gift",SunriseMode,18.99,200,32,2 Mo.,Clothing,53,100,2.49,10488,https://www.etsy.com/listing/4451278169/america-250th-anniversary-shirt,https://www.etsy.com/shop/SunriseMode,97,1842,170,169,16,6816,,,1,-1,2,90,physical,"youth shirt,4th of july gift,america shirt,freedom shirt,250 years freedom,america 250th,250th anniversary,fourth of july 2026,american flag shirt,independence day tee,american pride shirt,patriotic gift shirt,made in america tee",youth shirt,4th of july gift,america shirt,freedom shirt,250 years freedom,america 250th,250th anniversary,fourth of july 2026,american flag shirt,independence day tee,american pride shirt,patriotic gift shirt,made in america tee
America 250 Years rhinestone shirt July 4th bling patriotic sparkle tee fireworks USA anniversary top,SparkleNationDesign,33.50,300,16,2 Mo.,Clothing,125,100,3.35,60430,https://www.etsy.com/listing/4451273971/america-250-years-rhinestone-shirt-july,https://www.etsy.com/shop/SparkleNationDesign,53,1776,83,63,8,2478,,,3,-1,0,101,physical,"july 4th shirt,america 250 shirt,patriotic eagle tee,bling patriotic tee,fourth of july tee,patriotic bling top,fireworks shirt,american eagle tee,holiday july 4,patriotic sparkle,usa 250 years shirt,250 years july 4th,250 years bling",july 4th shirt,america 250 shirt,patriotic eagle tee,bling patriotic tee,fourth of july tee,patriotic bling top,fireworks shirt,american eagle tee,holiday july 4,patriotic sparkle,usa 250 years shirt,250 years july 4th,250 years bling
"Comfort Colors® Custom USA 250th Anniversary Shirt, Personalized Patriotic Shirt, America 1776 2026 Shirt, Custom Name Patriotic Tee",GoldenAppleApparelUS,16.99,0,41,1 Mo.,Clothing,34,100,7.29,10489,https://www.etsy.com/listing/4469200572/comfort-colors-custom-usa-250th,https://www.etsy.com/shop/GoldenAppleApparelUS,104,1767,101,50,41,1385,,,1,-1,1,132,physical,"custom usa shirt,patriotic custom tee,usa 250 shirt,america 1776 shirt,250th anniversary,custom name shirt,patriotic usa tee,independence day,america pride tee,usa flag shirt,250 years shirt,1776 2026 shirt,4th of july",custom usa shirt,patriotic custom tee,usa 250 shirt,america 1776 shirt,250th anniversary,custom name shirt,patriotic usa tee,independence day,america pride tee,usa flag shirt,250 years shirt,1776 2026 shirt,4th of july
